Date,MC,Amoeba,Type,dilute,Read1,rd1_new,diulte,Read2,rd_2_new,Avg,STDEV
9,22.1-1 MC+,WC-1,CHLA,1,5974.4,5974.4,1,7733,7733,,
12,22.1-1 MC+,WC-1,PC,1,103175,103175,0.5,98343,196686,,
12,22.1-1 MC+,WC-1,CHLA,1,10226,10226,0.5,9535.9,19071.8,,
14,22.1-1 MC+,WC-1,PC,0.5,85977,171954,0.5,55941,111882,,
14,22.1-1 MC+,WC-1,CHLA,0.5,8966.1,17932.2,0.5,7974.2,15948.4,,
16,22.1-1 MC+,WC-1,PC,1,40792,40792,1,77001,77001,,
16,22.1-1 MC+,WC-1,CHLA,1,7993.4,7993.4,1,10923,10923,,
0,22.1-2,A22.3,PC,1,21846,21846,1,22651,22651,,
0,22.1-2,A22.3,CHLA,1,3907.2,3907.2,1,4196.6,4196.6,,
2,22.1-2,A22.3,PC,1,38887,38887,1,37283,37283,,
2,22.1-2,A22.3,CHLA,1,4123.3,4123.3,1,4058,4058,,
5,22.1-2,A22.3,PC,1,57865,57865,1,63502,63502,,
5,22.1-2,A22.3,CHLA,1,5678.9,5678.9,1,5985.4,5985.4,,
7,22.1-2,A22.3,PC,1,72510,72510,1,82638,82638,,
7,22.1-2,A22.3,CHLA,1,7373.3,7373.3,1,8274.7,8274.7,,
9,22.1-2,A22.3,PC,0.5,64713,129426,0.5,76399,152798,,
9,22.1-2,A22.3,CHLA,0.5,7144.2,14288.4,0.5,7951.1,15902.2,,
12,22.1-2,A22.3,PC,0.5,97630,195260,0.5,77315,154630,,
12,22.1-2,A22.3,CHLA,0.5,9667.5,19335,0.5,8206.4,16412.8,,
14,22.1-2,A22.3,PC,0.5,83633,167266,0.5,66684,133368,,
14,22.1-2,A22.3,CHLA,0.5,8940,17880,0.5,7875.8,15751.6,,
16,22.1-2,A22.3,PC,1,64176,64176,1,64700,64700,,
16,22.1-2,A22.3,CHLA,1,10558,10558,1,10753,10753,,
0,22.1-2,A54.2,PC,1,22297,22297,1,21492,21492,,
0,22.1-2,A54.2,CHLA,1,4096.1,4096.1,1,4017.8,4017.8,,
2,22.1-2,A54.2,PC,1,36026,36026,1,35155,35155,,
2,22.1-2,A54.2,CHLA,1,4070,4070,1,3843.9,3843.9,,
5,22.1-2,A54.2,PC,1,56432,56432,1,62736,62736,,
5,22.1-2,A54.2,CHLA,1,5465.8,5465.8,1,6499,6499,,
7,22.1-2,A54.2,PC,1,94867,94867,1,94186,94186,,
7,22.1-2,A54.2,CHLA,1,8919.9,8919.9,1,9299.8,9299.8,,
9,22.1-2,A54.2,PC,0.5,83587,167174,0.5,79855,159710,,
9,22.1-2,A54.2,CHLA,0.5,8444.5,16889,0.5,8311.9,16623.8,,
12,22.1-2,A54.2,PC,0.5,88235,176470,0.5,99509,199018,,
12,22.1-2,A54.2,CHLA,0.5,8927.9,17855.8,0.5,9866.6,19733.2,,
14,22.1-2,A54.2,PC,0.5,75561,151122,0.5,59116,118232,,
14,22.1-2,A54.2,CHLA,0.5,8429.4,16858.8,0.5,7438.6,14877.2,,
16,22.1-2,A54.2,PC,1,67168,67168,1,53525,53525,,
16,22.1-2,A54.2,CHLA,1,10857,10857,1,10245,10245,,
0,22.1-2,I6-1,PC,1,28124,28124,1,28072,28072,,
0,22.1-2,I6-1,CHLA,1,5202.6,5202.6,1,5171.4,5171.4,,
2,22.1-2,I6-1,PC,1,36360,36360,1,36995,36995,,
2,22.1-2,I6-1,CHLA,1,4440.8,4440.8,1,4431,4431,,
5,22.1-2,I6-1,PC,1,88674,88674,1,96222,96222,,
5,22.1-2,I6-1,CHLA,1,8281.8,8281.8,1,9012.4,9012.4,,
7,22.1-2,I6-1,PC,1,102409,102409,0.5,86631,173262,,
7,22.1-2,I6-1,CHLA,1,10544,10544,0.5,8217.4,16434.8,,
9,22.1-2,I6-1,PC,0.5,87639,175278,0.5,104563,209126,,
9,22.1-2,I6-1,CHLA,0.5,9089.7,18179.4,0.5,10095,20190,,
12,22.1-2,I6-1,PC,0.5,78193,156386,0.5,85427,170854,,
12,22.1-2,I6-1,CHLA,0.5,8904.8,17809.6,0.5,9366,18732,,
14,22.1-2,I6-1,PC,0.5,55731,111462,0.5,57636,115272,,
14,22.1-2,I6-1,CHLA,0.5,9184.2,18368.4,0.5,8393.3,16786.6,,
16,22.1-2,I6-1,PC,1,55548,55548,1,64942,64942,,
16,22.1-2,I6-1,CHLA,1,11058,11058,1,11563,11563,,
0,22.1-2,I6-2,PC,1,28916,28916,1,30474,30474,,
0,22.1-2,I6-2,CHLA,1,4544.4,4544.4,1,4631.7,4631.7,,
2,22.1-2,I6-2,PC,1,42160,42160,1,42592,42592,,
2,22.1-2,I6-2,CHLA,1,4512.2,4512.2,1,4488.1,4488.1,,
5,22.1-2,I6-2,PC,1,97237,97237,1,82808,82808,,
5,22.1-2,I6-2,CHLA,1,8751,8751,1,8055.7,8055.7,,
7,22.1-2,I6-2,PC,0.5,81034,162068,0.5,75266,150532,,
7,22.1-2,I6-2,CHLA,0.5,8116.9,16233.8,0.5,7476.8,14953.6,,
9,22.1-2,I6-2,PC,0.5,96883,193766,0.5,94428,188856,,
9,22.1-2,I6-2,CHLA,0.5,9260.5,18521,0.5,8732,17464,,
12,22.1-2,I6-2,PC,0.5,99986,199972,0.5,79633,159266,,
12,22.1-2,I6-2,CHLA,0.5,10036,20072,0.5,8558.1,17116.2,,
14,22.1-2,I6-2,PC,0.5,51960,103920,0.5,85990,171980,,
14,22.1-2,I6-2,CHLA,0.5,7789.4,15578.8,0.5,9004.3,18008.6,,
16,22.1-2,I6-2,PC,1,49859,49859,1,102297,102297,,
16,22.1-2,I6-2,CHLA,1,9530.9,9530.9,1,16388,16388,,
0,22.1-2,I7-2,PC,1,27770,27770,1,28124,28124,,
0,22.1-2,I7-2,CHLA,1,4597.6,4597.6,1,4508.2,4508.2,,
2,22.1-2,I7-2,PC,1,41983,41983,1,39711,39711,,
2,22.1-2,I7-2,CHLA,1,4427.8,4427.8,1,4222.8,4222.8,,
5,22.1-2,I7-2,PC,1,81296,81296,1,82049,82049,,
5,22.1-2,I7-2,CHLA,1,7355.2,7355.2,1,7484.8,7484.8,,
7,22.1-2,I7-2,PC,0.5,70199,140398,0.5,72536,145072,,
7,22.1-2,I7-2,CHLA,0.5,6826.6,13653.2,0.5,7395.4,14790.8,,
9,22.1-2,I7-2,PC,0.5,96621,193242,0.5,88621,177242,,
9,22.1-2,I7-2,CHLA,0.5,9219.4,18438.8,0.5,8622.4,17244.8,,
12,22.1-2,I7-2,PC,0.5,88962,177924,0.5,100451,200902,,
12,22.1-2,I7-2,CHLA,0.5,9178.2,18356.4,0.5,9816.3,19632.6,,
14,22.1-2,I7-2,PC,1,80013,80013,1,61276,61276,,
14,22.1-2,I7-2,CHLA,1,9393.2,9393.2,1,8192.3,8192.3,,
16,22.1-2,I7-2,PC,1,50049,50049,1,33865,33865,,
16,22.1-2,I7-2,CHLA,1,9155,9155,1,8139.1,8139.1,,
0,22.1-2,U,PC,1,20556,20556,1,20713,20713,,
0,22.1-2,U,CHLA,1,3527.4,3527.4,1,3600.7,3600.7,,
2,22.1-2,U,PC,1,32785,32785,1,32733,32733,,
2,22.1-2,U,CHLA,1,3463,3463,1,3511.2,3511.2,,
5,22.1-2,U,PC,1,61479,61479,1,70428,70428,,
5,22.1-2,U,CHLA,1,5520.1,5520.1,1,6349.2,6349.2,,
7,22.1-2,U,PC,1,74631,74631,1,91672,91672,,
7,22.1-2,U,CHLA,1,6669.8,6669.8,1,8818.4,8818.4,,
9,22.1-2,U,PC,0.5,76327,152654,0.5,81977,163954,,
9,22.1-2,U,CHLA,0.5,7245.6,14491.2,0.5,8095.9,16191.8,,
12,22.1-2,U,PC,0.5,65106,130212,0.5,66055,132110,,
12,22.1-2,U,CHLA,0.5,7170.3,14340.6,0.5,6913,13826,,
14,22.1-2,U,PC,1,74108,74108,1,83633,83633,,
14,22.1-2,U,CHLA,1,8587.2,8587.2,1,8806.3,8806.3,,
16,22.1-2,U,PC,1,35914,35914,1,40124,40124,,
16,22.1-2,U,CHLA,1,7168.2,7168.2,1,7833.5,7833.5,,
0,22.1-2,WC-1,PC,1,23397,23397,1,22900,22900,,
0,22.1-2,WC-1,CHLA,1,4087.2,4087.2,1,3995.6,3995.6,,
2,22.1-2,WC-1,PC,1,32811,32811,1,33623,33623,,
2,22.1-2,WC-1,CHLA,1,3592.7,3592.7,1,3694.2,3694.2,,
5,22.1-2,WC-1,PC,1,49545,49545,1,46232,46232,,
5,22.1-2,WC-1,CHLA,1,5025.7,5025.7,1,4895.1,4895.1,,
7,22.1-2,WC-1,PC,1,72563,72563,1,76307,76307,,
7,22.1-2,WC-1,CHLA,1,7369.2,7369.2,1,7609.4,7609.4,,
9,22.1-2,WC-1,PC,0.5,71783,143566,0.5,63927,127854,,
9,22.1-2,WC-1,CHLA,0.5,7171.2,14342.4,0.5,6754.2,13508.4,,
12,22.1-2,WC-1,PC,0.5,68896,137792,0.5,83914,167828,,
12,22.1-2,WC-1,CHLA,0.5,7801.3,15602.6,0.5,8712.8,17425.6,,
14,22.1-2,WC-1,PC,1,82114,82114,1,80556,80556,,
14,22.1-2,WC-1,CHLA,1,11166,11166,1,10905,10905,,
16,22.1-2,WC-1,PC,1,42415,42415,1,41761,41761,,
16,22.1-2,WC-1,CHLA,1,10502,10502,1,9947,9947,,
0,52.2-2,A22.3,PC,1,25204,25204,1,25086,25086,,
0,52.2-2,A22.3,CHLA,1,4893,4893,1,4802.6,4802.6,,
2,52.2-2,A22.3,PC,1,32425,32425,1,31744,31744,,
2,52.2-2,A22.3,CHLA,1,3911.2,3911.2,1,3559.5,3559.5,,
5,52.2-2,A22.3,PC,1,31738,31738,1,47692,47692,,
5,52.2-2,A22.3,CHLA,1,3488.1,3488.1,1,5150.3,5150.3,,
7,52.2-2,A22.3,PC,1,55522,55522,1,78245,78245,,
7,52.2-2,A22.3,CHLA,1,5358.4,5358.4,1,7557.2,7557.2,,
9,52.2-2,A22.3,PC,1,78978,78978,1,94468,94468,,
9,52.2-2,A22.3,CHLA,1,7472.8,7472.8,1,8980.2,8980.2,,
12,52.2-2,A22.3,PC,0.5,93963,187926,0.5,73911,147822,,
12,52.2-2,A22.3,CHLA,0.5,9281.7,18563.4,0.5,7345.2,14690.4,,
14,52.2-2,A22.3,PC,0.5,98795,197590,0.5,93433,186866,,
14,52.2-2,A22.3,CHLA,0.5,10053,20106,0.5,9661.5,19323,,
16,52.2-2,A22.3,PC,0.5,84189,168378,0.5,52739,105478,,
16,52.2-2,A22.3,CHLA,0.5,9935.9,19871.8,0.5,9072.7,18145.4,,
0,52.2-2,A54.2,PC,1,24451,24451,1,23482,23482,,
0,52.2-2,A54.2,CHLA,1,4681,4681,1,4661.9,4661.9,,
2,52.2-2,A54.2,PC,1,33813,33813,1,35188,35188,,
2,52.2-2,A54.2,CHLA,1,4005.7,4005.7,1,4021.7,4021.7,,
5,52.2-2,A54.2,PC,1,68536,68536,1,77479,77479,,
5,52.2-2,A54.2,CHLA,1,6820.6,6820.6,1,7752.2,7752.2,,
7,52.2-2,A54.2,PC,1,101342,101342,1,100831,100831,,
7,52.2-2,A54.2,CHLA,1,10243,10243,1,11426,11426,,
9,52.2-2,A54.2,PC,0.5,101590,203180,0.5,98736,197472,,
9,52.2-2,A54.2,CHLA,0.5,10128,20256,0.5,9645.5,19291,,
12,52.2-2,A54.2,PC,0.33,81309,246390.9091,0.5,87783,175566,,
12,52.2-2,A54.2,CHLA,0.33,7777.3,23567.57576,0.5,8572.2,17144.4,,
14,52.2-2,A54.2,PC,0.5,72052,144104,0.5,50553,101106,,
14,52.2-2,A54.2,CHLA,0.5,8108.9,16217.8,0.5,6709,13418,,
16,52.2-2,A54.2,PC,1,77158,77158,1,51122,51122,,
16,52.2-2,A54.2,CHLA,1,10466,10466,1,8396.1,8396.1,,
0,52.2-2,I6-1,PC,1,28104,28104,1,28418,28418,,
0,52.2-2,I6-1,CHLA,1,5354.3,5354.3,1,5588.5,5588.5,,
2,52.2-2,I6-1,PC,1,38193,38193,1,36157,36157,,
2,52.2-2,I6-1,CHLA,1,4735.3,4735.3,1,4476,4476,,
5,52.2-2,I6-1,PC,1,93387,93387,1,87018,87018,,
5,52.2-2,I6-1,CHLA,1,8643.6,8643.6,1,8614.4,8614.4,,
7,52.2-2,I6-1,PC,0.5,74252,148504,0.5,75456,150912,,
7,52.2-2,I6-1,CHLA,0.5,7646.6,15293.2,0.5,7907.9,15815.8,,
9,52.2-2,I6-1,PC,0.5,92327,184654,0.5,96170,192340,,
9,52.2-2,I6-1,CHLA,0.5,9441.4,18882.8,0.5,10038,20076,,
12,52.2-2,I6-1,PC,0.5,92130,184260,0.5,103528,207056,,
12,52.2-2,I6-1,CHLA,0.5,10105,20210,0.5,11005,22010,,
14,52.2-2,I6-1,PC,0.5,83129,166258,0.5,62756,125512,,
14,52.2-2,I6-1,CHLA,0.5,9850.4,19700.8,0.5,9593.2,19186.4,,
16,52.2-2,I6-1,PC,1,73152,73152,1,69152,69152,,
16,52.2-2,I6-1,CHLA,1,12632,12632,1,11705,11705,,
0,52.2-2,I6-2,PC,1,30448,30448,1,31201,31201,,
0,52.2-2,I6-2,CHLA,1,5067.9,5067.9,1,5220.7,5220.7,,
2,52.2-2,I6-2,PC,1,36085,36085,1,39430,39430,,
2,52.2-2,I6-2,CHLA,1,4198.7,4198.7,1,4516.2,4516.2,,
5,52.2-2,I6-2,PC,1,97276,97276,1,90173,90173,,
5,52.2-2,I6-2,CHLA,1,9869.6,9869.6,1,8692.7,8692.7,,
7,52.2-2,I6-2,PC,0.5,81970,163940,0.5,78821,157642,,
7,52.2-2,I6-2,CHLA,0.5,7983.3,15966.6,0.5,8107.8,16215.6,,
9,52.2-2,I6-2,PC,0.5,102507,205014,0.5,96628,193256,,
9,52.2-2,I6-2,CHLA,0.5,10359,20718,0.5,10013,20026,,
12,52.2-2,I6-2,PC,0.33,80451,243790.9091,0.5,94022,188044,,
12,52.2-2,I6-2,CHLA,0.33,7588.4,22995.15152,0.5,9742.9,19485.8,,
14,52.2-2,I6-2,PC,0.5,63731,127462,0.5,50304,100608,,
14,52.2-2,I6-2,CHLA,0.5,8654.6,17309.2,0.5,7405.5,14811,,
16,52.2-2,I6-2,PC,1,56635,56635,1,48111,48111,,
16,52.2-2,I6-2,CHLA,1,9794.2,9794.2,1,10137,10137,,
0,52.2-2,I7-2,PC,1,29584,29584,1,28418,28418,,
0,52.2-2,I7-2,CHLA,1,5047.8,5047.8,1,4925.2,4925.2,,
2,52.2-2,I7-2,PC,1,37767,37767,1,37420,37420,,
2,52.2-2,I7-2,CHLA,1,4284.1,4284.1,1,4178.6,4178.6,,
5,52.2-2,I7-2,PC,1,72000,72000,1,73512,73512,,
5,52.2-2,I7-2,CHLA,1,7056.7,7056.7,1,7078.9,7078.9,,
7,52.2-2,I7-2,PC,1,100471,100471,1,87463,87463,,
7,52.2-2,I7-2,CHLA,1,9589.2,9589.2,1,9158.1,9158.1,,
9,52.2-2,I7-2,PC,0.5,70540,141080,0.5,87070,174140,,
9,52.2-2,I7-2,CHLA,0.5,7631.6,15263.2,0.5,8512.9,17025.8,,
12,52.2-2,I7-2,PC,0.5,62461,124922,0.5,81564,163128,,
12,52.2-2,I7-2,CHLA,0.5,7851.6,15703.2,0.5,8696.8,17393.6,,
14,52.2-2,I7-2,PC,0.5,36955,73910,1,71895,71895,,
14,52.2-2,I7-2,CHLA,0.5,7314,14628,1,9868.5,9868.5,,
16,52.2-2,I7-2,PC,1,42481,42481,1,40916,40916,,
16,52.2-2,I7-2,CHLA,1,9630.4,9630.4,1,9676.6,9676.6,,
0,52.2-2,U,PC,1,22252,22252,1,21512,21512,,
0,52.2-2,U,CHLA,1,4029.8,4029.8,1,4100.2,4100.2,,
2,52.2-2,U,PC,1,34834,34834,1,35600,35600,,
2,52.2-2,U,CHLA,1,3689.1,3689.1,1,3760.4,3760.4,,
5,52.2-2,U,PC,1,74206,74206,1,71384,71384,,
5,52.2-2,U,CHLA,1,6457.7,6457.7,1,6525.1,6525.1,,
7,52.2-2,U,PC,1,100307,100307,1,97387,97387,,
7,52.2-2,U,CHLA,1,8755.1,8755.1,1,8676.7,8676.7,,
9,52.2-2,U,PC,0.5,94723,189446,0.5,93571,187142,,
9,52.2-2,U,CHLA,0.5,9652.5,19305,0.5,9107.9,18215.8,,
12,52.2-2,U,PC,0.5,73335,146670,0.5,67247,134494,,
12,52.2-2,U,CHLA,0.5,8171.2,16342.4,0.5,7429.5,14859,,
14,52.2-2,U,PC,0.5,42396,84792,1,61826,61826,,
14,52.2-2,U,CHLA,0.5,6988.4,13976.8,1,8809.4,8809.4,,
16,52.2-2,U,PC,1,40458,40458,1,43436,43436,,
16,52.2-2,U,CHLA,1,8274.7,8274.7,1,9058.6,9058.6,,
0,52.2-2,WC-1,PC,1,25819,25819,1,24995,24995,,
0,52.2-2,WC-1,CHLA,1,4653.9,4653.9,1,4604.7,4604.7,,
2,52.2-2,WC-1,PC,1,32779,32779,1,33990,33990,,
2,52.2-2,WC-1,CHLA,1,3909.3,3909.3,1,3868,3868,,
5,52.2-2,WC-1,PC,1,67646,67646,1,62795,62795,,
5,52.2-2,WC-1,CHLA,1,6684.9,6684.9,1,6436.7,6436.7,,
7,52.2-2,WC-1,PC,1,94173,94173,1,86546,86546,,
7,52.2-2,WC-1,CHLA,1,9317.8,9317.8,1,8940,8940,,
9,52.2-2,WC-1,PC,0.5,84058,168116,0.5,57689,115378,,
9,52.2-2,WC-1,CHLA,0.5,8412.4,16824.8,0.5,6695,13390,,
12,52.2-2,WC-1,PC,0.5,44157,88314,1,64019,64019,,
12,52.2-2,WC-1,CHLA,0.5,7593.4,15186.8,1,9239.5,9239.5,,
14,52.2-2,WC-1,PC,1,30134,30134,1,37355,37355,,
14,52.2-2,WC-1,CHLA,1,8464.6,8464.6,1,8796.2,8796.2,,
16,52.2-2,WC-1,PC,1,28968,28968,1,19567,19567,,
16,52.2-2,WC-1,CHLA,1,8883.7,8883.7,1,9012.4,9012.4,,
